responseTime,trial,targetWord,chosenWord,chosenCategory,chosenPosition,subjID,order,correct,german,aoa_german_comb,group,sex,age,age_group,source,postcode
6774,1,squirrel,squirrel,target,lower-left,18X9TEt7,orderA,1,eichhörnchen,2.6,low,m,5.834360027378508,5,mpi,04103
4623,2,cap,cap,target,upper-right,18X9TEt7,orderA,1,mütze,1.95,low,m,5.834360027378508,5,mpi,04103
3747,3,door,door,target,lower-left,18X9TEt7,orderA,1,tür,3.12,low,m,5.834360027378508,5,mpi,04103
4177,4,stairs,stairs,target,lower-right,18X9TEt7,orderA,1,treppe,3.25,low,m,5.834360027378508,5,mpi,04103
4762,5,desk,desk,target,lower-left,18X9TEt7,orderA,1,schreibtisch,3.2,low,m,5.834360027378508,5,mpi,04103
3289,6,strawberry,strawberry,target,upper-left,18X9TEt7,orderA,1,erdbeere,3.47,low,m,5.834360027378508,5,mpi,04103
2619,7,eye,eye,target,upper-left,18X9TEt7,orderA,1,auge,2.69,low,m,5.834360027378508,5,mpi,04103
2836,8,plane,plane,target,lower-left,18X9TEt7,orderA,1,flugzeug,3.24,low,m,5.834360027378508,5,mpi,04103
2794,9,paintbrush,paintbrush,target,lower-left,18X9TEt7,orderA,1,pinsel,3.43,low,m,5.834360027378508,5,mpi,04103
2585,10,telephone,telephone,target,upper-right,18X9TEt7,orderA,1,telefon,3.53,middle,m,5.834360027378508,5,mpi,04103
2197,11,snake,snake,target,upper-left,18X9TEt7,orderA,1,schlange,2,low,m,5.834360027378508,5,mpi,04103
3371,12,carrot,carrot,target,lower-right,18X9TEt7,orderA,1,möhre,3.36,low,m,5.834360027378508,5,mpi,04103
2697,13,star,star,target,upper-left,18X9TEt7,orderA,1,stern,3.29,low,m,5.834360027378508,5,mpi,04103
3146,14,scissors,scissors,target,upper-right,18X9TEt7,orderA,1,schere,3.38,low,m,5.834360027378508,5,mpi,04103
2212,15,tiger,tiger,target,upper-right,18X9TEt7,orderA,1,tiger,3.88,middle,m,5.834360027378508,5,mpi,04103
2794,16,bone,bone,target,lower-right,18X9TEt7,orderA,1,knochen,4.64,middle,m,5.834360027378508,5,mpi,04103
3966,17,apple,apple,target,upper-left,18X9TEt7,orderA,1,apfel,2.71,low,m,5.834360027378508,5,mpi,04103
2541,18,fish,fish,target,lower-left,18X9TEt7,orderA,1,fisch,2.76,low,m,5.834360027378508,5,mpi,04103
4350,19,ant,ant,target,upper-right,18X9TEt7,orderA,1,ameise,4.6,middle,m,5.834360027378508,5,mpi,04103
4603,20,belt,belt,target,lower-right,18X9TEt7,orderA,1,gürtel,4.11,middle,m,5.834360027378508,5,mpi,04103
6045,21,fryingpan,fryingpan,target,upper-left,18X9TEt7,orderA,1,pfanne,4.16,middle,m,5.834360027378508,5,mpi,04103
4667,22,zebra,zebra,target,upper-right,18X9TEt7,orderA,1,zebra,3.65,middle,m,5.834360027378508,5,mpi,04103
10881,23,needle,needle,target,upper-left,18X9TEt7,orderA,1,nadel,4.22,middle,m,5.834360027378508,5,mpi,04103
3820,24,bicycle,bicycle,target,upper-right,18X9TEt7,orderA,1,fahrrad,3.8,middle,m,5.834360027378508,5,mpi,04103
3580,25,ladder,ladder,target,upper-right,18X9TEt7,orderA,1,leiter,4.47,middle,m,5.834360027378508,5,mpi,04103
3494,26,battery,battery,target,lower-right,18X9TEt7,orderA,1,batterie,5.94,middle,m,5.834360027378508,5,mpi,04103
19029,27,elk,goblet,dist2,lower-right,18X9TEt7,orderA,0,elch,6.28,high,m,5.834360027378508,5,mpi,04103
14247,28,choir,choir,target,upper-right,18X9TEt7,orderA,1,chor,7.19,high,m,5.834360027378508,5,mpi,04103
2981,29,kangaroo,kangaroo,target,lower-left,18X9TEt7,orderA,1,känguru,5.89,middle,m,5.834360027378508,5,mpi,04103
3906,30,ventilator,ventilator,target,upper-right,18X9TEt7,orderA,1,ventilator,6.59,high,m,5.834360027378508,5,mpi,04103
9752,31,arugula,brusselsprouts,dist1,lower-left,18X9TEt7,orderA,0,rucola,6.18,high,m,5.834360027378508,5,mpi,04103
2788,32,flag,flag,target,lower-right,18X9TEt7,orderA,1,flagge,5.86,middle,m,5.834360027378508,5,mpi,04103
3686,33,giraffe,giraffe,target,upper-left,18X9TEt7,orderA,1,giraffe,3.79,middle,m,5.834360027378508,5,mpi,04103
8075,34,palmtree,drinkingstraws,dist2,lower-right,18X9TEt7,orderA,0,palme,6.57,high,m,5.834360027378508,5,mpi,04103
2445,35,pineapple,pineapple,target,lower-right,18X9TEt7,orderA,1,ananas,4.1,middle,m,5.834360027378508,5,mpi,04103
6714,36,ocean,pelican,dist2,lower-right,18X9TEt7,orderA,0,ozean,6.46,high,m,5.834360027378508,5,mpi,04103
5141,37,gazelle,dragonfly,dist2,upper-left,18X9TEt7,orderA,0,gazelle,6.31,high,m,5.834360027378508,5,mpi,04103
6677,38,ruler,ruler,target,lower-left,18X9TEt7,orderA,1,lineal,4.9,middle,m,5.834360027378508,5,mpi,04103
8914,39,badger,badger,target,lower-left,18X9TEt7,orderA,1,dachs,6.17,high,m,5.834360027378508,5,mpi,04103
19382,40,chanterelle,chanterelle,target,upper-left,18X9TEt7,orderA,1,pfifferling,7.13,high,m,5.834360027378508,5,mpi,04103
6671,41,ruin,ruin,target,lower-right,18X9TEt7,orderA,1,ruine,6.21,high,m,5.834360027378508,5,mpi,04103
4416,42,labyrinth,labyrinth,target,lower-left,18X9TEt7,orderA,1,labyrinth,6.63,high,m,5.834360027378508,5,mpi,04103
24095,43,mushroom,mushroom,target,lower-right,18X9TEt7,orderA,1,pilz,3.67,middle,m,5.834360027378508,5,mpi,04103
13724,44,orchid,banner,dist3,lower-right,18X9TEt7,orderA,0,orchidee,9.76,high,m,5.834360027378508,5,mpi,04103
4034,45,zucchini,zucchini,target,upper-right,18X9TEt7,orderA,1,zucchini,5.95,middle,m,5.834360027378508,5,mpi,04103
